MAV,RMS,VAR,WL,ZC,SSC,WAMP,IEMG,label,start_time,end_time
243.125,323.63897710257334,104742.1875,1325.0,1,1,3,972.5,UP,1763807091.053952,1763807091.655155
483.25,484.8986363148488,235126.6875,1933.0,2,0,2,1933.0,UP,1763807091.453952,1763807092.053997
383.625,442.97199403574035,196224.1875,1023.0,1,0,1,1534.5,UP,1763807091.85402,1763807092.454021
136.75,164.3920618521466,27024.75,402.0,1,0,2,547.0,UP,1763807092.254012,1763807092.853981
135.0,161.72662118525818,26155.5,401.0,1,0,3,540.0,UP,1763807092.654316,1763807093.254028
17.0,20.303940504246953,412.25,87.0,2,1,3,68.0,UP,1763807093.054013,1763807093.65404
210.25,248.86994595571397,61936.25,797.0,1,1,3,841.0,UP,1763807093.454034,1763807094.054246
241.5,278.86018001858923,77763.0,644.0,1,0,1,966.0,UP,1763807093.854025,1763807094.454033
0.0,0.0,0.0,0.0,0,0,0,0.0,REST,1763807094.254089,1763807094.854081
0.0,0.0,0.0,0.0,0,0,0,0.0,REST,1763807094.654401,1763807095.25437
0.0,0.0,0.0,0.0,0,0,0,0.0,REST,1763807095.05592,1763807095.654058
0.0,0.0,0.0,0.0,0,0,0,0.0,REST,1763807095.454068,1763807096.054417
0.0,0.0,0.0,0.0,0,0,0,0.0,REST,1763807095.854391,1763807096.454177
0.0,0.0,0.0,0.0,0,0,0,0.0,REST,1763807096.254092,1763807096.854065
0.0,0.0,0.0,0.0,0,0,0,0.0,REST,1763807096.654075,1763807097.254143
135.0,155.88457268119896,24300.0,360.0,1,0,1,540.0,REST,1763807097.054401,1763807097.654131
172.25,208.2984637485356,43388.25,525.0,1,0,3,689.0,REST,1763807097.454101,1763807098.054434
19.0,23.5,552.25,141.0,3,2,3,76.0,REST,1763807097.854126,1763807098.454143
25.75,30.13614938906429,908.1875,76.0,1,0,3,103.0,REST,1763807098.254153,1763807098.856375
12.625,15.417117110536587,237.6875,40.0,1,0,3,50.5,REST,1763807098.654148,1763807099.254163
10.25,10.685855136581255,114.1875,44.0,2,1,3,41.0,REST,1763807099.054157,1763807099.654174
16.25,18.659782956937093,348.1875,88.0,2,1,3,65.0,REST,1763807099.454168,1763807100.054176
18.75,19.84155991851447,393.6875,91.0,2,1,3,75.0,REST,1763807099.854176,1763807100.45419
12.0,12.82575533838066,164.5,81.0,3,2,3,48.0,REST,1763807100.254182,1763807100.854201
12.5,12.698425099200294,161.25,79.0,3,2,3,50.0,REST,1763807100.657228,1763807101.254461
15.75,18.89940475253123,357.1875,63.0,1,1,3,63.0,REST,1763807101.054208,1763807101.654215
14.25,17.168284713389397,294.75,46.0,1,0,2,57.0,REST,1763807101.454505,1763807102.054228
12.25,14.44818327679989,208.75,78.0,2,2,3,49.0,REST,1763807101.854221,1763807102.454244
13.125,16.17675801883678,261.6875,78.0,2,2,3,52.5,REST,1763807102.254239,1763807102.854343
20.75,25.927784324928346,672.25,85.0,1,2,3,83.0,REST,1763807102.65424,1763807103.25426
19.75,20.58367071248469,423.6875,89.0,2,1,3,79.0,REST,1763807103.054253,1763807103.654273
8.0,10.111874208078342,102.25,47.0,2,1,3,32.0,REST,1763807103.45428,1763807104.054285
1.5,1.8708286933869707,3.5,7.0,1,1,3,6.0,REST,1763807103.854588,1763807104.454284
3.0,3.5355339059327378,12.5,17.0,2,1,3,12.0,REST,1763807104.254253,1763807104.854622
4.5,4.55521678957215,20.75,26.0,3,2,3,18.0,REST,1763807104.654263,1763807105.254313
7.25,8.13557004763649,66.1875,21.0,1,0,3,29.0,REST,1763807105.054632,1763807105.654315
5.5,6.123724356957945,37.5,26.0,1,2,3,22.0,REST,1763807105.454306,1763807106.05432
3.0,3.640054944640259,13.25,22.0,3,2,3,12.0,REST,1763807105.854364,1763807106.454331
35.25,41.11265012134343,1690.25,106.0,1,1,3,141.0,REST,1763807106.254658,1763807106.854374
39.5,39.6642156105475,1573.25,160.0,2,1,3,158.0,REST,1763807106.654486,1763807107.254361
25.875,30.011456145945335,900.6875,146.0,2,2,3,103.5,REST,1763807107.054844,1763807107.654363
31.75,37.632266740126084,1416.1875,94.0,1,0,3,127.0,REST,1763807107.45434,1763807108.054373
21.25,22.520823697191894,507.1875,96.0,2,1,3,85.0,REST,1763807107.854365,1763807108.454382
14.25,17.949582167838894,322.1875,77.0,1,1,3,57.0,REST,1763807108.254381,1763807108.854372
12.0,14.115594213493104,199.25,82.0,3,2,3,48.0,REST,1763807108.654376,1763807109.254398
13.25,14.02453207775575,196.6875,58.0,2,1,3,53.0,REST,1763807109.054386,1763807109.654754
7.0,8.558621384311845,73.25,33.0,2,1,3,28.0,REST,1763807109.454808,1763807110.054722
12.5,14.168627315304754,200.75,64.0,1,2,3,50.0,REST,1763807109.854444,1763807110.45442
12.25,15.400892831261439,237.1875,43.0,1,0,3,49.0,REST,1763807110.254509,1763807110.855666
15.0,18.034688796871432,325.25,71.0,1,1,3,60.0,REST,1763807110.65476,1763807111.254446
8.75,10.497023387608508,110.1875,45.0,2,1,3,35.0,REST,1763807111.054442,1763807111.654478
6.625,8.347903928532,69.6875,32.0,1,1,3,26.5,REST,1763807111.45445,1763807112.054466
10.5,11.022703842524301,121.5,39.0,1,2,3,42.0,REST,1763807111.854464,1763807112.454507
11.25,13.388427838995884,179.25,59.0,2,1,3,45.0,REST,1763807112.254452,1763807112.854487
